
show ip bgp summary
neighbor,as,updown,state,
10.254.9.14,64512,06:05:15,14,
10.254.9.26,64512,06:05:26,10,
10.254.9.66,64512,06:05:20,4,
10.254.9.74,64512,06:05:19,21,
10.254.9.98,64512,06:05:26,17,
10.254.9.110,64512,06:05:18,2,
10.254.9.146,64512,06:05:18,8,
10.254.9.154,64512,06:05:18,8,
192.168.233.2,64513,06:05:53,241,
192.168.234.1,64513,06:05:50,191,
192.168.234.2,64513,06:05:46,191,
192.168.240.15,64513,02:45:51,3,
192.168.240.16,64513,02:46:06,3,

show cdp neigh
device_id,local_intrfce,holdtme,capability_platform,platform,port_id,
RT55DP11HRTN.dps.com,Tunnel751,178,R I,ASR1001,Tunnel155,
RT55DP11HRTN.dps.com,Tunnel752,134,R I,ASR1001,Tunnel1155,
rt73dp11m5tn.dps.com,Tunnel732,149,R I,ASR1001,Tunnel1155,
rt73dp11m5tn.dps.com,Tunnel731,159,R I,ASR1001,Tunnel155,

show ip bgp neighbors 10.13.64.201 advertised-routes
network,next_hop,metric,locprf,weight,path,
e172.20.1.0/24,10.13.64.233,3075072,                     ,0,64704 ?,
e172.20.2.0/24,10.13.64.229,1434112,                     ,0,64704 ?,
e172.20.3.0/24,10.13.64.229,3075072,                     ,0,64704 ?,
e172.20.4.0/24,10.13.64.233,47122688,                     ,0,64704 ?,
e172.20.6.0/24,10.13.64.229,3075072,                     ,0,64704 ?,
e172.20.7.0/24,10.13.64.229,1536512,                     ,0,64704 ?,
e172.20.8.0/24,10.13.64.229,3075072,                     ,0,64704 ?,
e172.20.11.0/24,10.13.64.233,3075072,                     ,0,64704 ?,
e172.20.12.0/24,10.13.64.229,3075072,                     ,0,64704 ?,
e172.20.14.0/24,10.13.64.229,47122688,                     ,0,64704 ?,
e172.20.16.0/24,10.13.64.229,3075072,                     ,0,64704 ?,
e172.20.17.0/24,10.13.64.229,3075072,                     ,0,64704 ?,
e172.20.18.0/24,10.13.64.229,3075072,                     ,0,64704 ?,
e172.20.19.0/24,10.13.64.233,3075072,                     ,0,64704 ?,
e172.20.20.0/24,10.13.64.229,3075072,                     ,0,64704 ?,
e172.20.21.0/24,10.13.64.233,3075072,                     ,0,64704 ?,
e172.20.23.0/24,10.13.64.229,3075072,                     ,0,64704 ?,
e172.20.24.0/24,10.13.64.233,3075072,                     ,0,64704 ?,
e172.20.28.0/24,10.13.64.229,1434112,                     ,0,64704 ?,
e172.20.30.0/24,10.13.64.229,2134016,                     ,0,64704 ?,
e172.20.31.0/24,10.13.64.229,3075072,                     ,0,64704 ?,
e172.20.33.0/24,10.13.64.233,41408512,                     ,0,64704 ?,
e172.20.35.0/24,10.13.64.229,3075072,                     ,0,64704 ?,
e172.20.36.0/24,10.13.64.229,3075072,                     ,0,64704 ?,
e172.20.37.0/24,10.13.64.229,47122688,                     ,0,64704 ?,
e172.20.40.0/24,10.13.64.233,41408512,                     ,0,64704 ?,
e172.20.42.0/24,10.13.64.229,41408512,                     ,0,64704 ?,
e172.20.43.0/24,10.13.64.233,3075072,                     ,0,64704 ?,
e172.20.44.0/24,10.13.64.229,47122688,                     ,0,64704 ?,
e172.20.46.0/24,10.13.64.233,3075072,                     ,0,64704 ?,
e172.20.48.0/24,10.13.64.233,41408512,                     ,0,64704 ?,
e172.20.51.0/24,10.13.64.229,3075072,                     ,0,64704 ?,
e172.20.52.0/24,10.13.64.229,47122688,                     ,0,64704 ?,
e172.20.53.0/24,10.13.64.229,47122688,                     ,0,64704 ?,
e172.20.57.0/24,10.13.64.229,2688512,                     ,0,64704 ?,
e172.20.58.0/24,10.13.64.229,1920512,                     ,0,64704 ?,
e172.20.65.0/24,10.13.64.229,47122688,                     ,0,64704 ?,

show ip bgp neighbors 191.13.64.201 advertised-routes
network,next_hop,metric,locprf,weight,path,
e172.20.51.0/24,10.13.64.229,3075072,                     ,0,64704 ?,
e172.20.52.0/24,10.13.64.229,47122688,                     ,0,64704 ?,
e172.20.53.0/24,10.13.64.229,47122688,                     ,0,64704 ?,
e172.20.57.0/24,10.13.64.229,2688512,                     ,0,64704 ?,
e172.20.58.0/24,10.13.64.229,1920512,                     ,0,64704 ?,
e172.20.65.0/24,10.13.64.229,47122688,                     ,0,64704 ?,

show ip bgp neighbors 10.13.64.229 routes
network,next_hop,metric,locprf,weight,path,
e10.22.5.115/32,10.13.64.201,0,                     ,0,64778 i,
e10.23.5.115/32,10.13.64.201,0, ,64778,64779 65100 64780 64768 i,

show ip bgp neighbors 191.13.64.201 routes
network,next_hop,metric,locprf,weight,path,
e172.20.19.0/24,10.13.64.233,3075072,                     ,0,64704 ?,
e172.20.20.0/24,10.13.64.229,3075072,                     ,0,64704 ?,
